Name,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Total Tests,Population
Mongolia,"389,876",+226,"2,060 ",+1,"313,256",,"74,560",192,"4,030,048","3,357,401 "
Libya,"389,650",+916,"5,722 ",+12,"376,968",+690,"6,960",128,"2,036,573","7,011,341 "
Egypt,"386,358",,"21,768 ",,"321,132",,"43,458",122,"3,693,367","105,225,944 "
Honduras,"379,542",,"10,434 ",,"124,171",,"244,937",83,"1,139,978","10,140,671 "
Moldova,"376,434",,"10,284 ",,"362,728",,"3,422",118,"2,340,118","4,019,897 "
Armenia,"345,007",+27,"7,977 ",+2,"331,858",+166,"5,172",,"2,574,697","2,971,551 "
Oman,"305,832",+122,"4,117 ",+1,"300,488",+107,"1,227",3,"25,000,000","5,301,065 "
Kenya,"297,155",,"5,381 ",,"253,715",,"38,059",39,"3,036,982","55,545,148 "
Bosnia and Herzegovina,"291,313",,"13,442 ",,"192,218",,"85,653",,"1,483,234","3,250,199 "
Bahrain,"282,677",,"1,394 ",,"277,501",,"3,782",1,"8,027,797","1,790,043 "
Singapore,"279,861",,829 ,,"276,033",,"2,999",16,"21,098,774","5,919,337 "
Latvia,"277,021",+180,"4,579 ",+2,"262,278",+902,"10,164",71,"5,612,862","1,854,904 "
Finland,"260,292",,"1,564 ",,"46,000",,"212,728",52,"8,667,479","5,553,632 "
Zambia,"259,677","+1,729","3,743 ",+3,"226,281","+2,522","29,653",325,"2,976,458","19,154,564 "
Qatar,"251,361",,618 ,,"245,698",,"5,045",26,"3,180,056","2,807,805 "
Nigeria,"242,877",,"3,033 ",,"214,778",,"25,066",11,"3,823,309","213,789,192 "
Estonia,"242,123",,"1,938 ",,"225,059",,"15,126",16,"2,528,032","1,327,873 "
North Macedonia,"225,484",,"7,969 ",,"212,380",,"5,135",,"1,604,163","2,083,246 "
Botswana,"219,509",,"2,444 ",,"204,811",,"12,254",1,"2,026,898","2,422,751 "
Algeria,"218,818",,"6,284 ",,"150,308",,"62,226",27,"230,861","45,037,398 "
Zimbabwe,"214,214",,"5,017  ",,"182,411",,"26,786",12,"1,847,105","15,187,192 "
Albania,"210,224",,"3,217 ",,"200,758",,"6,249",23,"1,483,121","2,873,083 "
Uzbekistan,"199,118",+88,"1,485 ",,"196,337",+119,"1,296",23,"1,377,915","34,196,179 "
Mozambique,"191,722",,"2,012 ",,"156,576",,"33,134",13,"1,104,929","32,566,086 "
Kyrgyzstan,"184,786",+38,"2,804 ",+2,"179,903",+32,"2,079",131,"1,907,195","6,685,487 "
Montenegro,"173,161","+1,288","2,416  ",+2,"159,435",+253,"11,310",60,"988,673","628,185 "
Cyprus,"169,159",,638 ,,"124,370",,"44,151",60,"9,477,138","1,220,539 "
Afghanistan,"158,189",+77,"7,361 ",+5,"145,675",+32,"5,153","1,124","823,466","40,241,273 "
Namibia,"148,839",,"3,645 ",,"131,927",,"13,267",21,"872,058","2,609,847 "
Ghana,"145,052","+1,055","1,303 ",+5,"132,237",+444,"11,512",5,"2,117,923","32,044,443 "
Uganda,"142,604",,"3,297 ",,"98,421",,"40,886",69,"2,151,870","47,902,358 "
